Rank,Name,GM,W-L,AST
1,Michigan St.,34,28-6,644
2,North Carolina,33,27-6,627
3,Tennessee,34,29-5,620
4,Belmont,31,26-5,616
5,Gonzaga,33,30-3,601
6,Utah St.,34,28-6,585
7,Northern Ky.,34,26-8,581
8,Oakland,33,16-17,580
9,Buffalo,34,31-3,573
10,Murray St.,31,27-4,561
11,Lipscomb,32,25-7,555
12,Duke,34,29-5,541
13,Southern Miss.,32,20-12,540
14,Southern California,33,16-17,536
15,TCU,33,20-13,535
16,Colgate,34,24-10,531
,Georgetown,32,19-13,531
,Sam Houston St.,32,21-11,531
19,Dayton,32,21-11,529
,William & Mary,31,14-17,529
21,Memphis,34,21-13,527
,Toledo,32,25-7,527
23,Purdue Fort Wayne,33,18-15,525
24,North Florida,33,16-17,520
25,Iowa,33,22-11,519
,Richmond,33,13-20,519
,Bucknell,33,21-12,519
28,Iowa St.,34,23-11,518
,Presbyterian,33,18-15,518
30,Texas Southern,34,21-13,517
31,Abilene Christian,33,27-6,515
32,ETSU,33,24-9,513
,Holy Cross,33,16-17,513
,Arkansas,32,17-15,513
35,Creighton,32,18-14,512
36,Furman,32,25-7,510
37,N.C. Central,33,18-15,509
38,Drake,33,24-9,508
39,Wofford,33,29-4,507
40,Minnesota,34,21-13,506
41,Liberty,34,28-6,505
42,Auburn,35,26-9,504
43,Houston,34,31-3,503
,San Diego,35,21-14,503
45,NC State,33,22-11,501
46,Montana,34,26-8,500
,New Mexico St.,34,30-4,500
,UMass Lowell,32,15-17,500
49,Army West Point,32,13-19,499
50,Yale,29,22-7,495
,UNCW,33,23-Oct,495
52,Nevada,33,29-4,494
53,Gardner-Webb,34,23-11,492
54,Virginia Tech,32,24-8,491
,Montana St.,32,15-17,491
,CSUN,33,13-20,491
57,Xavier,33,18-15,488
,Green Bay,33,17-16,488
59,Louisiana,32,19-13,487
,San Diego St.,34,21-13,487
61,Villanova,34,25-9,485
62,BYU,32,19-13,482
63,Lamar University,33,20-13,481
,Texas St.,33,24-9,481
65,Pepperdine,34,16-18,479
66,UIC,32,16-16,478
,Hawaii,31,18-13,478
68,Wright St.,34,21-13,477
69,Hofstra,34,27-7,476
,Davidson,33,24-9,476
,Marshall,33,19-14,476
,South Dakota St.,32,24-8,476
,Washington St.,32,21-Nov,476
74,New Orleans,32,19-13,475
,Providence,33,18-15,475
,Michigan,34,28-6,475
77,Northeastern,33,23-10,473
78,UCLA,33,17-16,472
,Colorado St.,32,20-Dec,472
80,Lehigh,31,20-11,471
,South Alabama,34,17-17,471
,Sacred Heart,32,15-17,471
,Maine,32,27-May,471
84,Mississippi St.,33,23-10,470
,Ohio St.,33,19-14,470
86,Massachusetts,32,21-Nov,469
,Campbell,32,20-12,469
,FIU,32,19-13,469
89,Elon,32,21-Nov,468
90,Oregon,35,23-12,467
,Eastern Wash.,34,16-18,467
,Radford,33,22-11,467
93,Canisius,32,15-17,466
,Grand Canyon,33,20-13,466
,Fairleigh Dickinson,33,20-13,466
,UC Irvine,35,30-5,466
97,Penn,31,19-12,465
,Oregon St.,31,18-13,465
99,Virginia,32,29-3,464
,Drexel,32,13-19,464
101,St. John's (NY),33,21-12,463
,The Citadel,30,18-Dec,463
,Central Ark.,33,14-19,463
,Temple,32,23-9,463
105,Purdue,32,23-9,462
,Hartford,33,18-15,462
,Savannah St.,31,20-Nov,462
108,La.-Monroe,33,18-15,461
,UTRGV,35,19-16,461
,Samford,33,17-16,461
111,IUPUI,32,16-16,460
,Winthrop,30,18-12,460
