Rank,Team,GM,W-L,AST,APG
1,Iowa (Big Ten),29,21-8,555,19.1
2,McNeese (Southland),24,10-14,443,18.5
3,Gonzaga (WCC),26,26-0,476,18.3
4,Belmont (OVC),30,26-4,547,18.2
5,Abilene Christian (Southland),27,23-4,491,18.2
6,Ohio (MAC),23,16-7,412,17.9
7,Saint Louis (Atlantic 10),20,14-6,353,17.6
8,Colgate (Patriot),16,14-2,282,17.6
9,Xavier (Big East),21,13-8,369,17.6
10,Baylor (Big 12),25,23-2,425,17
11,Utah Valley (WAC),22,11-11,370,16.8
12,Georgia St. (Sun Belt),22,16-6,369,16.8
13,Murray St. (OVC),26,13-13,435,16.7
14,Furman (SoCon),25,16-9,416,16.6
15,BYU (WCC),26,20-6,431,16.6
16,Mercer (SoCon),29,18-11,479,16.5
17,Illinois (Big Ten),30,24-6,492,16.4
18,St. John's (NY) (Big East),27,16-11,440,16.3
19,LIU (NEC),18,9-9,293,16.3
20,UC Santa Barbara (Big West),26,22-4,423,16.3
21,Duke (ACC),24,13-11,390,16.2
22,Lafayette (Patriot),15,9-6,243,16.2
23,Utah St. (Mountain West),29,20-9,469,16.2
24,Grand Canyon (WAC),23,17-6,371,16.1
25,Toledo (MAC),30,21-9,480,16
25,Memphis (AAC),24,16-8,384,16
27,East Carolina (AAC),19,8-11,303,15.9
28,Eastern Ky. (OVC),29,22-7,461,15.9
29,Buffalo (MAC),25,16-9,397,15.9
30,Pepperdine (WCC),24,12-12,381,15.9
31,Marshall (C-USA),22,15-7,349,15.9
32,Loyola Chicago (MVC),29,25-4,460,15.9
33,Creighton (Big East),28,20-8,444,15.9
33,Michigan St. (Big Ten),28,15-13,444,15.9
33,Prairie View (SWAC),21,16-5,333,15.9
36,Georgia Tech (ACC),26,17-9,412,15.8
37,Liberty (ASUN),29,23-6,458,15.8
38,SFA (Southland),21,16-5,331,15.8
39,Robert Morris (Horizon),19,4-15,299,15.7
40,VMI (SoCon),25,13-12,393,15.7
41,New Orleans (Southland),25,10-15,391,15.6
42,Bryant (NEC),21,15-6,327,15.6
43,The Citadel (SoCon),25,13-12,389,15.6
44,Sam Houston (Southland),28,19-9,435,15.5
45,Arizona (Pac-12),26,17-9,403,15.5
46,Coastal Carolina (Sun Belt),23,16-7,356,15.5
47,Michigan (Big Ten),24,20-4,371,15.5
48,Wright St. (Horizon),24,18-6,369,15.4
49,SMU (AAC),17,11-6,260,15.3
50,North Carolina (ACC),29,18-11,443,15.3
51,Rice (C-USA),28,15-13,427,15.2
52,Syracuse (ACC),26,17-9,396,15.2
53,UTRGV (WAC),19,9-10,289,15.2
54,Utah (Pac-12),25,12-13,378,15.1
55,Davidson (Atlantic 10),22,13-9,332,15.1
56,Eastern Wash. (Big Sky),23,16-7,347,15.1
56,Villanova (Big East),23,17-6,347,15.1
58,FIU (C-USA),26,9-17,390,15
58,Weber St. (Big Sky),23,17-6,345,15
60,Georgia (SEC),26,14-12,389,15
61,Winthrop (Big South),25,23-2,374,15
62,Cincinnati (AAC),23,12-11,344,15
63,Massachusetts (Atlantic 10),15,8-7,224,14.9
64,Drexel (CAA),20,12-8,298,14.9
65,Samford (SoCon),19,6-13,283,14.9
66,Notre Dame (ACC),26,11-15,387,14.9
67,Oregon St. (Pac-12),30,18-12,446,14.9
68,Tennessee (SEC),27,18-9,401,14.9
69,Arkansas (SEC),29,23-6,430,14.8
70,Morgan St. (MEAC),22,14-8,326,14.8
71,Auburn (SEC),27,13-14,400,14.8
72,Oakland (Horizon),30,12-18,444,14.8
72,St. Bonaventure (Atlantic 10),20,16-4,296,14.8
72,Howard (MEAC),5,1-4,74,14.8
75,Kansas City (Summit League),24,11-13,355,14.8
76,UTSA (C-USA),26,15-11,383,14.7
77,Northwestern (Big Ten),24,9-15,352,14.7
78,Florida St. (ACC),22,16-6,322,14.6
79,Wofford (SoCon),24,15-9,351,14.6
80,Colorado St. (Mountain West),25,19-6,365,14.6
81,Pittsburgh (ACC),22,10-12,321,14.6
82,Fla. Atlantic (C-USA),23,13-10,335,14.6
83,Army West Point (Patriot),21,12-9,304,14.5
84,Arkansas St. (Sun Belt),24,11-13,347,14.5
85,Nevada (Mountain West),26,16-10,374,14.4
86,Saint Joseph's (Atlantic 10),20,5-15,287,14.3
87,Kent St. (MAC),23,15-8,330,14.3
88,Campbell (Big South),27,17-10,387,14.3
89,Detroit Mercy (Horizon),22,12-10,315,14.3
90,Purdue Fort Wayne (Horizon),23,8-15,329,14.3
91,St. Francis Brooklyn (NEC),19,9-10,271,14.3
92,Purdue (Big Ten),28,18-10,399,14.2
93,Houston Baptist (Southland),25,6-19,356,14.2
94,Richmond (Atlantic 10),22,14-8,313,14.2
94,Virginia Tech (ACC),22,15-7,313,14.2
96,South Dakota St. (Summit League),23,16-7,327,14.2
96,Tulsa (AAC),23,11-12,327,14.2
98,Alabama (SEC),30,24-6,426,14.2
99,Jacksonville St. (OVC),27,18-9,383,14.2
100,Tennessee Tech (OVC),27,5-22,382,14.1
101,Southern Utah (Big Sky),24,20-4,338,14.1
102,Green Bay (Horizon),25,8-17,352,14.1
103,Vermont (America East),15,10-5,211,14.1
104,Southern U. (SWAC),19,8-11,267,14.1
105,Grambling (SWAC),24,12-12,337,14
106,Stetson (ASUN),25,11-14,351,14
106,Wyoming (Mountain West),25,14-11,351,14
108,CSU Bakersfield (Big West),26,15-11,365,14
109,Houston (AAC),28,25-3,393,14
110,San Diego St. (Mountain West),28,23-5,392,14
110,UC Riverside (Big West),22,14-8,308,14
110,Monmouth (MAAC),20,12-8,280,14
113,South Dakota (Summit League),25,14-11,349,14
114,Virginia (ACC),24,18-6,335,14
115,Iona (MAAC),17,12-5,237,13.9
116,Indiana (Big Ten),27,12-15,376,13.9
117,West Virginia (Big 12),28,19-9,389,13.9
118,Southeast Mo. St. (OVC),27,11-16,374,13.9
119,Ball St. (MAC),23,10-13,318,13.8
120,Illinois St. (MVC),25,7-18,345,13.8
120,James Madison (CAA),20,13-7,276,13.8
122,Minnesota (Big Ten),29,14-15,399,13.8
123,Cleveland St. (Horizon),27,19-8,371,13.7
124,Dayton (Atlantic 10),23,14-9,316,13.7
125,Drake (MVC),30,26-4,412,13.7
126,Rutgers (Big Ten),27,16-11,370,13.7
127,UT Arlington (Sun Belt),26,13-13,356,13.7
128,Kansas (Big 12),28,20-8,383,13.7
129,Boise St. (Mountain West),27,19-8,369,13.7
129,Nebraska (Big Ten),27,7-20,369,13.7
129,FGCU (ASUN),18,10-8,246,13.7
132,Southern California (Pac-12),29,22-7,396,13.7
133,ULM (Sun Belt),26,7-19,355,13.7
134,Bradley (MVC),28,12-16,382,13.6
135,Cal St. Fullerton (Big West),16,6-10,218,13.6
136,Little Rock (Sun Belt),26,11-15,354,13.6
137,UCLA (Pac-12),27,18-9,367,13.6
138,N.C. A&T (MEAC),21,11-10,285,13.6
139,Texas St. (Sun Belt),25,18-7,339,13.6
140,Missouri St. (MVC),24,17-7,325,13.5
141,Southern Ill. (MVC),26,12-14,352,13.5
142,UIC (Horizon),22,9-13,297,13.5
143,Lipscomb (ASUN),27,15-12,364,13.5
144,Providence (Big East),26,13-13,350,13.5
145,Nicholls (Southland),25,18-7,336,13.4
145,Oklahoma (Big 12),25,15-10,336,13.4
147,Western Ky. (C-USA),28,21-7,376,13.4
148,Oregon (Pac-12),26,20-6,349,13.4
149,Central Ark. (Southland),24,5-19,322,13.4
150,Penn St. (Big Ten),25,11-14,335,13.4
151,Duquesne (Atlantic 10),18,9-9,241,13.4
151,Sacred Heart (NEC),18,9-9,241,13.4
153,Temple (AAC),16,5-11,214,13.4
154,North Texas (C-USA),27,18-9,361,13.4
155,Wisconsin (Big Ten),30,18-12,401,13.4
156,VCU (Atlantic 10),26,19-7,347,13.3
157,Eastern Ill. (OVC),27,9-18,360,13.3
157,South Carolina (SEC),21,6-15,280,13.3
159,CSUN (Big West),22,9-13,293,13.3
160,Western Caro. (SoCon),27,11-16,359,13.3
161,Clemson (ACC),24,16-8,319,13.3
162,IUPUI (Horizon),18,8-10,239,13.3
163,Maryland (Big Ten),29,16-13,385,13.3
164,Akron (MAC),23,15-8,305,13.3
165,Florida A&M (SWAC),20,8-12,265,13.2
166,Colorado (Pac-12),30,22-8,397,13.2
167,Austin Peay (OVC),27,14-13,357,13.2
168,San Diego (WCC),14,3-11,185,13.2
169,Missouri (SEC),25,16-9,330,13.2
170,UNLV (Mountain West),27,12-15,356,13.2
171,UNI (MVC),25,10-15,329,13.2
172,Texas (Big 12),26,19-7,342,13.2
173,Texas Tech (Big 12),28,18-10,368,13.1
174,NC State (ACC),24,14-10,315,13.1
175,Ohio St. (Big Ten),31,21-10,406,13.1
176,Arizona St. (Pac-12),25,11-14,327,13.1
177,TCU (Big 12),26,12-14,340,13.1
178,George Mason (Atlantic 10),22,13-9,287,13
178,UConn (Big East),22,15-7,287,13
180,Gardner-Webb (Big South),26,11-15,339,13
181,Kansas St. (Big 12),29,9-20,377,13
181,Coppin St. (MEAC),22,9-13,286,13
181,Wichita St. (AAC),22,16-6,286,13
181,Loyola Maryland (Patriot),17,6-11,221,13
185,Mississippi St. (SEC),29,15-14,376,13
185,Northwestern St. (Southland),29,11-18,376,13
187,SIUE (OVC),26,9-17,337,13
188,Milwaukee (Horizon),22,10-12,285,13
189,Pacific (WCC),18,9-9,233,12.9
190,Oklahoma St. (Big 12),29,21-8,375,12.9
191,Youngstown St. (Horizon),27,15-12,349,12.9
192,North Florida (ASUN),23,8-15,297,12.9
193,Wagner (NEC),20,13-7,258,12.9
194,Central Conn. St. (NEC),21,5-16,270,12.9
195,Seton Hall (Big East),27,14-13,347,12.9
196,Georgetown (Big East),25,13-12,321,12.8
197,A&M-Corpus Christi (Southland),24,5-19,308,12.8
198,Saint Francis (PA) (NEC),22,6-16,282,12.8
199,Morehead St. (OVC),31,23-8,397,12.8
200,American (Patriot),10,4-6,128,12.8
