1,Houston,AAC,33,4,.892,,16,2,.889,,75.3,61.0,,18.91,4.61
2,Cincinnati,AAC,28,7,.800,,14,4,.778,,71.7,62.7,,14.53,5.50
3,UCF,AAC,24,9,.727,,13,5,.722,,72.3,64.5,,13.37,5.58
4,Temple,AAC,23,10,.697,,13,5,.722,,74.7,71.5,,8.17,4.93
1,Virginia,ACC,35,3,.921,,16,2,.889,,71.4,56.1,,25.46,10.15
2,North Carolina,ACC,29,7,.806,,16,2,.889,,85.8,73.2,,23.94,11.35
3,Duke,ACC,32,6,.842,,14,4,.778,,82.7,67.8,,26.90,11.98
4,Florida St.,ACC,29,8,.784,,13,5,.722,,74.9,67.2,,17.99,10.26
5,Virginia Tech,ACC,26,9,.743,,12,6,.667,,73.5,62.1,,19.28,7.79
6,Louisville,ACC,20,14,.588,,10,8,.556,,74.6,68.4,,17.28,11.04
7,Syracuse,ACC,20,14,.588,,10,8,.556,,69.7,66.1,,13.73,10.09
1,Vermont,AEC,27,7,.794,,14,2,.875,,72.3,63.2,,4.88,-4.18
1,VCU,A-10,25,8,.758,,16,2,.889,,71.0,61.9,,11.96,2.87
6,Saint Louis,A-10,23,13,.639,,10,8,.556,,66.6,63.8,,5.06,2.23
1,Liberty,A-Sun,29,7,.806,,14,2,.875,,72.0,62.8,,5.27,-3.88
1,Texas Tech,Big 12,31,7,.816,,14,4,.778,,72.8,59.5,,22.79,9.53
2,Kansas St.,Big 12,25,9,.735,,14,4,.778,,65.8,59.6,,15.39,9.18
3,Kansas,Big 12,26,10,.722,,12,6,.667,,75.7,70.1,,18.35,12.79
4,Baylor,Big 12,20,14,.588,,10,8,.556,,71.8,67.7,,13.38,9.26
5,Iowa St.,Big 12,23,12,.657,,9,9,.500,,76.9,68.1,,18.07,9.30
8,Oklahoma,Big 12,20,14,.588,,7,11,.389,,71.3,68.2,,15.30,12.21
1,Montana,Big Sky,26,9,.743,,16,4,.800,,75.9,69.4,,1.50,-5.05
3,Gardner-Webb,Big South,23,12,.657,,11,6,.647,,75.2,73.3,,-2.61,-4.43
1,Michigan St.,Big Ten,32,7,.821,,16,4,.800,,77.6,65.0,,24.93,12.34
2,Purdue,Big Ten,26,10,.722,,16,4,.800,,76.7,67.3,,21.40,11.99
3,Michigan,Big Ten,30,7,.811,,15,5,.750,,69.6,58.3,,21.82,10.55
4,Wisconsin,Big Ten,23,11,.676,,14,6,.700,,68.6,61.7,,17.90,11.01
5,Maryland,Big Ten,23,11,.676,,13,7,.650,,71.4,65.5,,16.01,10.09
6,Iowa,Big Ten,23,12,.657,,10,10,.500,,78.3,73.9,,14.27,9.84
7,Minnesota,Big Ten,22,14,.611,,9,11,.450,,70.6,69.4,,12.52,11.27
8,Ohio St.,Big Ten,20,15,.571,,8,12,.400,,69.1,66.2,,13.89,11.00
1,UC Irvine,Big West,31,6,.838,,15,1,.938,,71.9,63.9,,5.70,-2.30
2,Northeastern,CAA,23,11,.676,,14,4,.778,,75.4,70.8,,3.95,-0.70
1,Yale,Ivy,22,8,.733,,10,4,.714,,80.7,73.9,,5.52,-1.24
1,Iona,MAAC,17,16,.515,,12,6,.667,,76.7,76.0,,-4.78,-5.50
3,North Carolina Central,MEAC,18,16,.529,,10,6,.625,,67.9,68.2,,-11.53,-11.24
1,Nevada,MWC,29,5,.853,,15,3,.833,,80.1,66.8,,16.00,2.68
2,Utah St.,MWC,28,7,.800,,15,3,.833,,78.5,67.4,,11.98,0.89
1,Murray St.,OVC,28,5,.848,,16,2,.889,,81.0,68.9,,8.96,-3.11
2,Belmont,OVC,27,6,.818,,16,2,.889,,86.4,74.7,,9.12,-2.60
1,Washington,Pac-12,27,9,.750,,15,3,.833,,69.8,64.8,,12.01,7.01
2,Arizona St.,Pac-12,23,11,.676,,12,6,.667,,77.6,73.4,,10.28,6.04
4,Oregon,Pac-12,25,13,.658,,10,8,.556,,70.0,62.2,,13.95,6.13
1,Wofford,Southern,30,5,.857,,18,0,1.000,,80.5,67.4,,13.92,0.80
1,LSU,SEC,28,7,.800,,16,2,.889,,80.4,73.1,,16.50,9.16
2,Tennessee,SEC,31,6,.838,,15,3,.833,,81.9,70.5,,21.55,10.16
