1,Wichita St.,AAC,16,6,.727,,11,2,.846,,70.9,68.5,,9.36,6.91
2,Houston,AAC,28,4,.875,,14,3,.824,,74.9,58.6,,21.66,5.37
1,Virginia,ACC,18,7,.720,,13,4,.765,,68.2,60.5,,15.27,7.59
2,Florida St.,ACC,18,7,.720,,11,4,.733,,77.2,69.2,,17.12,9.16
3,Virginia Tech,ACC,15,7,.682,,9,4,.692,,72.0,66.0,,12.59,6.50
4,Georgia Tech,ACC,17,9,.654,,11,6,.647,,74.9,70.0,,12.79,7.91
5,Clemson,ACC,16,8,.667,,10,6,.625,,64.9,61.9,,12.49,9.49
6,North Carolina,ACC,18,11,.621,,10,6,.625,,75.2,69.9,,14.79,9.52
8,Syracuse,ACC,18,10,.643,,9,7,.563,,74.8,70.1,,13.27,8.59
4,Hartford,AEC,15,9,.625,,8,6,.571,,65.4,63.9,,-3.45,-4.95
1,St. Bonaventure,A-10,16,5,.762,,11,4,.733,,70.0,61.1,,13.44,4.49
2,Virginia Commonwealth,A-10,19,7,.731,,10,4,.714,,71.7,65.2,,11.30,4.76
1,Liberty,A-Sun,23,6,.793,,11,2,.846,,72.7,62.5,,4.06,-6.14
1,Baylor,Big 12,28,2,.933,,13,1,.929,,82.9,65.5,,24.83,7.40
2,Kansas,Big 12,21,9,.700,,12,6,.667,,72.5,67.4,,15.29,10.26
3,Texas,Big 12,19,8,.704,,11,6,.647,,74.4,68.2,,15.51,9.36
4,West Virginia,Big 12,19,10,.655,,11,6,.647,,77.3,72.0,,15.36,10.05
5,Oklahoma St.,Big 12,21,9,.700,,11,7,.611,,76.6,72.7,,13.65,9.78
6,Texas Tech,Big 12,18,11,.621,,9,8,.529,,72.5,63.2,,16.59,7.28
7,Oklahoma,Big 12,16,11,.593,,9,8,.529,,74.5,69.9,,13.52,8.86
8,Georgetown,Big East,13,13,.500,,7,9,.438,,71.4,71.7,,10.13,10.36
1,Villanova,Big East,18,7,.720,,11,4,.733,,74.8,66.5,,17.47,9.19
2,Creighton,Big East,22,9,.710,,14,6,.700,,76.0,68.2,,16.28,8.54
3,UConn,Big East,15,8,.652,,11,6,.647,,71.7,64.6,,15.77,8.59
3,Eastern Wash.,Big Sky,16,8,.667,,12,3,.800,,78.2,71.0,,4.03,-3.15
1,Winthrop,Big South,23,2,.920,,17,1,.944,,78.9,67.0,,4.69,-7.15
1,Michigan,Big Ten,23,5,.821,,14,3,.824,,75.8,65.1,,22.00,11.25
2,Illinois,Big Ten,24,7,.774,,16,4,.800,,80.5,68.6,,23.25,11.34
3,Iowa,Big Ten,22,9,.710,,14,6,.700,,83.7,72.7,,21.40,10.43
4,Purdue,Big Ten,18,10,.643,,13,6,.684,,71.0,66.7,,15.55,11.23
5,Ohio St.,Big Ten,21,10,.677,,12,8,.600,,77.2,71.1,,18.25,12.19
6,Wisconsin,Big Ten,18,13,.581,,10,10,.500,,69.9,64.6,,17.22,11.93
7,Rutgers,Big Ten,16,12,.571,,10,10,.500,,69.3,67.6,,14.14,12.50
8,Maryland,Big Ten,17,14,.548,,9,11,.450,,67.8,65.9,,13.94,11.97
9,Michigan St.,Big Ten,15,13,.536,,9,11,.450,,69.4,71.1,,9.80,11.48
1,UC Santa Barbara,Big West,22,5,.815,,15,3,.833,,73.4,63.6,,7.80,-2.08
6,Drexel,CAA,12,8,.600,,4,5,.444,,70.4,67.4,,-0.97,-3.92
6,North Texas,CUSA,18,10,.643,,9,5,.643,,68.3,61.7,,7.58,1.02
