Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,Houston (AAC),28,25-3,534,"1,440",37.1
2,Grand Canyon (WAC),23,17-6,492,"1,307",37.6
3,Coastal Carolina (Sun Belt),23,16-7,534,"1,394",38.3
4,Memphis (AAC),24,16-8,518,"1,342",38.6
5,Saint Peter's (MAAC),25,14-11,511,"1,323",38.6
6,UC Irvine (Big West),27,18-9,603,"1,559",38.7
7,St. Bonaventure (Atlantic 10),20,16-4,429,"1,104",38.9
8,Quinnipiac (MAAC),22,9-13,531,"1,362",39
9,Utah St. (Mountain West),29,20-9,640,"1,640",39
10,Marist (MAAC),21,12-9,460,"1,174",39.2
11,San Diego St. (Mountain West),28,23-5,573,"1,461",39.2
12,Alabama A&M (SWAC),15,6-9,350,891,39.3
13,Southern California (Pac-12),29,22-7,683,"1,735",39.4
14,Jackson St. (SWAC),18,12-6,385,978,39.4
15,Michigan (Big Ten),24,20-4,572,"1,451",39.4
16,UMBC (America East),20,14-6,463,"1,167",39.7
17,Norfolk St. (MEAC),24,17-7,539,"1,358",39.7
18,Texas Southern (SWAC),25,17-8,600,"1,509",39.8
19,Florida St. (ACC),22,16-6,514,"1,290",39.8
20,Grambling (SWAC),24,12-12,558,"1,399",39.9
21,Iona (MAAC),17,12-5,363,910,39.9
22,Louisiana Tech (C-USA),29,22-7,680,"1,704",39.9
23,Abilene Christian (Southland),27,23-4,556,"1,390",40
24,Wright St. (Horizon),24,18-6,615,"1,534",40.1
25,Tennessee (SEC),27,18-9,599,"1,492",40.1
26,Wichita St. (AAC),22,16-6,533,"1,326",40.2
27,UC Riverside (Big West),22,14-8,506,"1,258",40.2
28,Mississippi St. (SEC),29,15-14,693,"1,719",40.3
29,Idaho St. (Big Sky),24,13-11,524,"1,297",40.4
30,UAB (C-USA),29,22-7,633,"1,566",40.4
31,Mount St. Mary's (NEC),23,12-11,526,"1,300",40.5
32,SMU (AAC),17,11-6,395,976,40.5
33,Alabama (SEC),30,24-6,753,"1,860",40.5
34,VCU (Atlantic 10),26,19-7,590,"1,457",40.5
35,Creighton (Big East),28,20-8,694,"1,709",40.6
36,Kansas (Big 12),28,20-8,664,"1,635",40.6
37,UTRGV (WAC),19,9-10,436,"1,073",40.6
38,North Texas (C-USA),27,18-9,588,"1,446",40.7
39,Vermont (America East),15,10-5,330,810,40.7
40,Stony Brook (America East),23,9-14,533,"1,308",40.7
41,Morehead St. (OVC),31,23-8,736,"1,806",40.8
42,Temple (AAC),16,5-11,385,944,40.8
43,BYU (WCC),26,20-6,641,"1,570",40.8
44,Illinois (Big Ten),30,24-6,744,"1,822",40.8
45,Siena (MAAC),17,12-5,400,979,40.9
46,Tulsa (AAC),23,11-12,520,"1,272",40.9
47,Nevada (Mountain West),26,16-10,592,"1,448",40.9
48,Maryland (Big Ten),29,16-13,673,"1,646",40.9
49,Liberty (ASUN),29,23-6,634,"1,550",40.9
50,Bryant (NEC),21,15-6,576,"1,408",40.9
51,Missouri St. (MVC),24,17-7,581,"1,418",41
52,UConn (Big East),22,15-7,492,"1,200",41
53,Colgate (Patriot),16,14-2,417,"1,017",41
54,South Alabama (Sun Belt),28,17-11,700,"1,706",41
55,Jacksonville St. (OVC),27,18-9,674,"1,642",41
56,Oklahoma St. (Big 12),29,21-8,747,"1,818",41.1
57,Texas Tech (Big 12),28,18-10,605,"1,471",41.1
58,Loyola Chicago (MVC),29,25-4,614,"1,491",41.2
59,James Madison (CAA),20,13-7,480,"1,165",41.2
60,Colorado St. (Mountain West),25,19-6,599,"1,453",41.2
61,Syracuse (ACC),26,17-9,658,"1,594",41.3
62,Kentucky (SEC),25,9-16,628,"1,521",41.3
63,Texas (Big 12),26,19-7,624,"1,511",41.3
64,Xavier (Big East),21,13-8,541,"1,310",41.3
65,Georgia St. (Sun Belt),22,16-6,554,"1,341",41.3
66,UNC Greensboro (SoCon),29,21-8,664,"1,605",41.4
67,Fla. Atlantic (C-USA),23,13-10,533,"1,288",41.4
68,Marquette (Big East),27,13-14,666,"1,609",41.4
69,Eastern Wash. (Big Sky),23,16-7,583,"1,408",41.4
70,Iowa (Big Ten),29,21-8,772,"1,864",41.4
