Rank,Name,GM,W-L,FT,FTA,FT%
1,Incarnate Word,31,25-Jun,448,553,81
2,Hofstra,34,27-7,598,748,79.9
3,Ole Miss,32,20-12,458,585,78.3
4,Central Conn. St.,31,20-Nov,496,634,78.2
5,La.-Monroe,33,18-15,546,698,78.2
6,Hampton,31,15-16,548,701,78.2
7,South Dakota St.,32,24-8,484,624,77.6
8,Louisville,33,20-13,519,670,77.5
9,Lehigh,31,20-11,480,620,77.4
10,North Dakota St.,33,18-15,445,575,77.4
11,Toledo,32,25-7,401,520,77.1
12,Liberty,34,28-6,374,485,77.1
13,Nicholls St.,31,14-17,322,418,77
14,La Salle,31,21-Oct,394,512,77
15,Gonzaga,33,30-3,551,718,76.7
16,Col. of Charleston,33,24-9,470,615,76.4
17,Tennessee,34,29-5,520,682,76.2
18,Pepperdine,34,16-18,529,696,76
19,Marquette,33,24-9,516,680,75.9
20,Denver,30,22-Aug,349,460,75.9
21,Campbell,32,20-12,439,579,75.8
22,Virginia Tech,32,24-8,413,545,75.8
23,Sam Houston St.,32,21-11,389,514,75.7
24,Washington St.,32,21-Nov,426,564,75.5
25,Sacred Heart,32,15-17,545,722,75.5
26,LSU,32,26-6,561,744,75.4
27,UT Martin,31,19-Dec,398,528,75.4
28,Drexel,32,13-19,440,584,75.3
29,Drake,33,24-9,457,607,75.3
30,Vermont,33,27-6,500,665,75.2
31,Lipscomb,32,25-7,530,705,75.2
32,Saint Joseph's,33,14-19,462,615,75.1
33,Northeastern,33,23-10,461,614,75.1
34,Michigan St.,34,28-6,510,680,75
35,Fla. Atlantic,32,17-15,401,535,75
36,Bucknell,33,21-12,489,653,74.9
37,Maryland,32,22-10,437,584,74.8
38,Colorado,33,21-12,523,700,74.7
39,Davidson,33,24-9,384,514,74.7
40,Utah St.,34,28-6,543,727,74.7
41,UNI,34,16-18,401,537,74.7
42,Virginia,32,29-3,388,520,74.6
43,Milwaukee,31,22-Sep,379,508,74.6
44,San Diego,35,21-14,473,634,74.6
45,Weber St.,33,18-15,528,708,74.6
46,Saint Mary's (CA),33,22-11,409,549,74.5
47,Pacific,32,14-18,520,698,74.5
48,Albany (NY),32,20-Dec,420,564,74.5
49,Wagner,30,13-17,428,575,74.4
50,LMU (CA),31,20-11,460,618,74.4
51,Notre Dame,33,14-19,442,594,74.4
52,Lafayette,30,20-Oct,325,437,74.4
53,Jacksonville St.,33,24-9,468,630,74.3
54,Charlotte,29,21-Aug,389,524,74.2
55,Louisiana,32,19-13,527,710,74.2
56,South Carolina St.,34,26-Aug,573,772,74.2
57,Oregon St.,31,18-13,472,636,74.2
58,St. Bonaventure,34,18-16,400,539,74.2
59,Oakland,33,16-17,492,663,74.2
60,North Carolina,33,27-6,505,681,74.2
61,Hartford,33,18-15,459,619,74.2
62,Colgate,34,24-10,413,557,74.1
63,UNC Asheville,31,27-Apr,324,437,74.1
64,Iona,32,17-15,507,684,74.1
65,Florida St.,34,27-7,534,721,74.1
66,UT Arlington,33,17-16,488,659,74.1
67,Iowa,33,22-11,593,801,74
68,South Dakota,30,13-17,433,585,74
69,Kentucky,33,27-6,577,780,74
70,Princeton,28,16-12,371,502,73.9
71,Murray St.,31,27-4,464,628,73.9
72,Winthrop,30,18-12,417,565,73.8
73,Belmont,31,26-5,411,557,73.8
74,Montana St.,32,15-17,480,651,73.7
75,Butler,32,16-16,348,472,73.7
76,UTSA,32,17-15,395,536,73.7
77,Yale,29,22-7,399,542,73.6
78,The Citadel,30,18-Dec,385,523,73.6
79,Niagara,32,13-19,463,629,73.6
80,Wright St.,34,21-13,501,681,73.6
81,Georgetown,32,19-13,555,755,73.5
82,Arkansas St.,32,13-19,530,721,73.5
83,Miami (FL),32,14-18,419,570,73.5
84,Northwestern,32,13-19,405,551,73.5
85,Idaho St.,30,19-Nov,366,498,73.5
86,Clemson,32,19-13,420,572,73.4
87,Ohio St.,33,19-14,455,620,73.4
88,Grand Canyon,33,20-13,483,659,73.3
89,UNCW,33,23-Oct,493,673,73.3
90,Purdue,32,23-9,413,564,73.2
91,Iowa St.,34,23-11,443,605,73.2
92,Fairleigh Dickinson,33,20-13,483,660,73.2
93,Samford,33,17-16,487,666,73.1
94,Temple,32,23-9,465,636,73.1
95,Northern Ill.,34,17-17,397,543,73.1
96,Indiana St.,31,15-16,454,621,73.1
97,Longwood,32,15-17,442,605,73.1
98,Central Ark.,33,14-19,487,667,73
99,VMI,32,21-Nov,424,581,73
100,Western Ill.,31,21-Oct,321,440,73
101,Eastern Wash.,34,16-18,398,546,72.9
102,Presbyterian,33,18-15,464,637,72.8
103,Texas Tech,32,26-6,433,595,72.8
104,Villanova,34,25-9,491,675,72.7
105,Delaware,33,17-16,410,564,72.7
106,BYU,32,19-13,545,750,72.7
107,Marshall,33,19-14,465,640,72.7
108,Wichita St.,33,19-14,430,592,72.6
109,Saint Peter's,32,22-Oct,414,570,72.6
110,Wake Forest,31,20-Nov,494,681,72.5
111,St. John's (NY),33,21-12,433,597,72.5
112,Utah Valley,33,24-9,522,720,72.5
113,Quinnipiac,30,16-14,457,631,72.4
114,Idaho,32,27-May,367,507,72.4
115,Western Ky.,34,20-14,524,724,72.4
116,California,31,23-Aug,436,603,72.3
117,Wyoming,32,24-Aug,477,660,72.3
118,Boise St.,33,13-20,422,584,72.3
119,Troy,30,18-Dec,397,550,72.2
120,Howard,33,17-16,550,762,72.2
121,Evansville,32,21-Nov,476,660,72.1
122,Kent St.,32,22-10,455,631,72.1
123,Omaha,32,21-11,341,473,72.1
124,Fresno St.,32,23-9,412,572,72
125,Dartmouth,30,19-Nov,314,436,72
126,James Madison,33,14-19,437,607,72
127,UMass Lowell,32,15-17,460,639,72
128,Coastal Caro.,31,15-16,521,724,72
129,Arizona,32,17-15,446,620,71.9
130,Cornell,30,15-15,389,541,71.9
131,Oregon,35,23-12,429,597,71.9
132,Florida,34,19-15,416,579,71.8
133,NJIT,33,21-12,497,692,71.8
134,Seattle U,32,18-14,466,649,71.8
135,Detroit Mercy,31,20-Nov,417,581,71.8
136,Southeastern La.,33,17-16,459,640,71.7
137,Stony Brook,32,24-8,481,671,71.7
138,Illinois St.,33,17-16,387,540,71.7
139,Radford,33,22-11,369,515,71.7
140,DePaul,30,15-15,449,627,71.6
141,George Mason,33,18-15,454,634,71.6
142,Santa Clara,31,16-15,406,567,71.6
143,San Diego St.,34,21-13,486,679,71.6
144,UC Santa Barbara,32,22-10,496,693,71.6
145,Appalachian St.,32,21-Nov,505,706,71.5
146,Abilene Christian,33,27-6,452,632,71.5
147,SMU,32,15-17,374,523,71.5
148,Navy,31,19-Dec,389,544,71.5
149,Mississippi St.,33,23-10,446,624,71.5
150,Norfolk St.,34,21-13,551,771,71.5
151,Harvard,29,18-11,358,501,71.5
152,N.C. Central,33,18-15,443,620,71.5
153,Southern Utah,32,16-16,490,686,71.4
154,Furman,32,25-7,354,496,71.4
155,Morgan St.,30,21-Sep,477,669,71.3
,Auburn,35,26-9,477,669,71.3
157,McNeese,31,22-Sep,461,647,71.3
158,Bryant,30,20-Oct,440,618,71.2
159,Eastern Ky.,31,13-18,486,683,71.2
160,USC Upstate,32,26-Jun,350,492,71.1
161,Gardner-Webb,34,23-11,524,737,71.1
162,Memphis,34,21-13,573,806,71.1
163,NC State,33,22-11,430,605,71.1
164,Loyola Maryland,32,21-Nov,438,617,71
165,Miami (OH),32,15-17,444,626,70.9
166,Texas,32,16-16,390,550,70.9
167,Brown,30,19-11,460,649,70.9
168,UC Davis,31,20-Nov,365,515,70.9
169,Seton Hall,33,20-13,483,682,70.8
170,Nevada,33,29-4,560,791,70.8
171,Austin Peay,33,22-11,498,705,70.6
172,Utah,31,17-14,435,616,70.6
173,Columbia,28,18-Oct,266,377,70.6
174,Georgia,32,21-Nov,512,726,70.5
175,Northern Ariz.,31,21-Oct,433,614,70.5
176,Akron,33,17-16,380,539,70.5
177,Morehead St.,33,13-20,461,654,70.5
178,Cincinnati,34,28-6,524,744,70.4
179,Green Bay,33,17-16,508,722,70.4
180,Missouri,32,15-17,370,526,70.3
181,SIUE,31,21-Oct,476,677,70.3
182,Northern Colo.,32,21-11,445,633,70.3
183,Cal St. Fullerton,33,16-17,497,707,70.3
184,LIU,32,16-16,452,643,70.3
185,Saint Francis (PA),32,18-14,478,680,70.3
186,Ball St.,33,16-17,498,709,70.2
187,Illinois,33,21-Dec,415,591,70.2
188,New Mexico,32,14-18,523,745,70.2
189,Portland St.,32,16-16,525,748,70.2
190,Houston,34,31-3,454,647,70.2
191,IUPUI,32,16-16,484,690,70.1
192,Youngstown St.,32,20-Dec,354,505,70.1
193,Tennessee St.,30,21-Sep,440,628,70.1
194,UMKC,32,21-Nov,413,590,70
195,UNC Greensboro,34,28-6,442,632,69.9
196,Valparaiso,33,15-18,416,595,69.9
197,Wofford,33,29-4,381,545,69.9
198,Boston College,31,14-17,442,633,69.8
199,Robert Morris,33,17-16,425,609,69.8
200,VCU,32,25-7,455,652,69.8
201,American,30,15-15,411,589,69.8
202,Michigan,34,28-6,367,526,69.8
203,Kansas,34,25-9,461,661,69.7
204,Pittsburgh,33,14-19,543,779,69.7
205,UTRGV,35,19-16,616,885,69.6
206,UC Irvine,35,30-5,423,608,69.6
207,Towson,32,22-Oct,370,532,69.5
208,Nebraska,34,18-16,452,650,69.5
209,Tulsa,32,18-14,522,751,69.5
210,North Dakota,30,18-Dec,335,482,69.5
211,A&M-Corpus Christi,32,14-18,376,541,69.5
212,Kennesaw St.,32,26-Jun,410,590,69.5
213,Washington,34,26-8,450,648,69.4
214,Colorado St.,32,20-Dec,402,579,69.4
215,Duquesne,32,19-13,460,663,69.4
216,Penn St.,32,14-18,425,613,69.3
217,Elon,32,21-Nov,307,443,69.3
218,Purdue Fort Wayne,33,18-15,386,557,69.3
219,Fairfield,31,22-Sep,291,420,69.3
220,Hawaii,31,18-13,399,576,69.3
221,Bradley,34,20-14,453,654,69.3
222,Sacramento St.,31,15-16,410,592,69.3
223,Texas A&M,32,14-18,437,631,69.3
224,Missouri St.,32,16-16,434,627,69.2
225,Canisius,32,15-17,398,575,69.2
226,North Florida,33,16-17,373,539,69.2
227,Stetson,31,24-Jul,348,503,69.2
228,Ga. Southern,33,21-12,498,720,69.2
229,Buffalo,34,31-3,497,719,69.1
