Rank,Name,GM,Opp TO,Avg
1,FIU,32,632,19.75
2,Eastern Ky.,31,567,18.29
3,Prairie View,34,620,18.24
4,UTRGV,35,620,17.71
5,Morgan St.,30,530,17.67
6,Auburn,35,616,17.6
7,New Orleans,32,557,17.41
8,Rider,31,528,17.03
9,UNC Greensboro,34,569,16.74
10,Charleston So.,32,532,16.63
11,Abilene Christian,33,548,16.61
12,Arkansas,32,531,16.59
13,Marshall,33,542,16.42
14,VCU,32,521,16.28
15,Washington,34,552,16.24
16,Memphis,34,549,16.15
17,NC State,33,524,15.88
18,Lamar University,33,523,15.85
19,Houston Baptist,30,474,15.8
20,Austin Peay,33,521,15.79
21,Ga. Southern,33,520,15.76
22,SFA,30,471,15.7
23,Lipscomb,32,502,15.69
24,Norfolk St.,34,533,15.68
25,Syracuse,33,517,15.67
26,Texas Tech,32,501,15.66
27,UMBC,34,532,15.65
28,Illinois,33,516,15.64
29,Robert Morris,33,514,15.58
30,Buffalo,34,528,15.53
31,Brown,30,465,15.5
32,St. John's (NY),33,510,15.45
33,South Fla.,32,494,15.44
34,Green Bay,33,509,15.42
35,Bethune-Cookman,31,478,15.42
36,Texas Southern,34,522,15.35
37,Duquesne,32,491,15.34
38,Sacramento St.,31,474,15.29
39,Southern U.,32,489,15.28
40,Louisiana,32,486,15.19
,Sam Houston St.,32,486,15.19
42,Georgia St.,33,501,15.18
43,Alabama St.,31,470,15.16
44,Howard,33,499,15.12
45,Tennessee St.,30,453,15.1
46,LSU,32,480,15
47,Jacksonville St.,33,494,14.97
48,Savannah St.,31,464,14.97
49,Portland St.,32,478,14.94
50,Temple,32,476,14.88
,South Carolina,32,476,14.88
52,Pepperdine,34,505,14.85
53,Kansas St.,33,490,14.85
54,Texas St.,33,489,14.82
55,Florida A&M,31,459,14.81
56,Monmouth,35,518,14.8
57,Florida,34,503,14.79
58,Manhattan,32,473,14.78
59,Duke,34,502,14.76
60,Fairleigh Dickinson,33,486,14.73
61,Pittsburgh,33,485,14.7
,ETSU,33,485,14.7
63,Southeastern La.,33,483,14.64
64,Loyola Maryland,32,468,14.63
65,UC Davis,31,453,14.61
66,Ole Miss,32,467,14.59
67,Fairfield,31,452,14.58
68,UMKC,32,466,14.56
69,South Carolina St.,34,494,14.53
70,Tennessee Tech,31,450,14.52
71,Holy Cross,33,479,14.52
72,Central Mich.,34,492,14.47
73,Long Beach St.,34,490,14.41
74,Furman,32,461,14.41
75,Delaware St.,31,446,14.39
76,Missouri St.,32,460,14.38
77,Alabama A&M,32,458,14.31
78,Florida St.,34,486,14.29
79,Mercer,31,443,14.29
80,Canisius,32,457,14.28
,N.C. A&T,32,457,14.28
82,Murray St.,31,442,14.26
83,SIUE,31,441,14.23
84,Seton Hall,33,469,14.21
85,Northwestern St.,31,440,14.19
,LMU (CA),31,440,14.19
87,Little Rock,31,439,14.16
88,Columbia,28,396,14.14
89,IUPUI,32,452,14.13
90,North Carolina,33,466,14.12
,Providence,33,466,14.12
92,Arizona,32,451,14.09
,Virginia Tech,32,451,14.09
94,California,31,436,14.06
95,UConn,33,464,14.06
96,CSU Bakersfield,31,435,14.03
97,Wofford,33,462,14
98,Oregon,35,489,13.97
99,Rhode Island,33,461,13.97
100,Wright St.,34,474,13.94
101,Eastern Mich.,32,446,13.94
102,Detroit Mercy,31,432,13.94
103,Jackson St.,32,445,13.91
